PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
11868;"Centro de Atención Integral a Drogodependientes CAID Este";"Centro de la red asistencial para las adicciones de la Comunidad de Madrid.";"Lunes a viernes, de 9 a 21 horas.";"Servicio de información y orientación. Servicio de valoración, diagnóstico y plan terapéutico. Servicio de seguimiento y control terapéutico. Servicio de atención familiar.";"Metro: San Blas (línea 7).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2385d4985261c010VgnVCM1000000b205a0aRCRD";"CIVICA";"PLAZA";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"447678";"4475575";"40.42917334565452";"-3.6168271127274583";"913 064 542 / 913 064 543";"913 132 455";"caideste@salud.madrid.org";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"
11882;"Centro de Atención Integral a Drogodependientes CAID Norte";"Centro de la red asistencial para las adicciones de la Comunidad de Madrid.";"De lunes a viernes, de 9 a 21 horas.";"Servicio de información y orientación. Servicio de valoración, diagnóstico y plan terapéutico. Servicio de seguimiento y control terapéutico. Servicio de atención familiar.";"Metro: Tetuán (línea 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=91a5d4985261c010VgnVCM1000000b205a0aRCRD";"NUESTRA SEÑORA DEL CARMEN";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28039";"6";"BERRUGUETE";"6";"TETUAN";"440306";"4479190";"40.461243047308834";"-3.7040801932309786";"913 980 556";"913 115 619";"caidnorte.agad@salud.madrid.org";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"
11884;"Centro de Atención Integral a Drogodependientes CAID Sur-Usera";"Centro de la red asistencial para las adicciones de la Comunidad de Madrid.";"Lunes a viernes, de 9 a 21 horas.";"Servicio de información y orientación. Servicio de valoración, diagnóstico y plan terapéutico. Servicio de seguimiento y control terapéutico. Servicio de atención familiar.";"Metro: Usera (línea 6).  Cercanías Renfe: Doce de Octubre (línea C5).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=00c5d4985261c010VgnVCM1000000b205a0aRCRD";"JASPE";"CALLE";"V";"40";"";"";"";"";"MADRID";"MADRID";"28026";"7";"PRADOLONGO";"12";"USERA";"439999";"4470274";"40.380895887060476";"-3.7068540170815787";"915 003 010 / 915 002 828";"914 768 355";"caiddeusera.agad@salud.madrid.org";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"
5408374;"Centro de Atención Integral a Drogodependientes CAID Vallecas";"Centro de la red asistencial para las adicciones de la Comunidad de Madrid.";"Lunes a viernes, de 9 a 21 horas.";"Servicio de información y orientación. Servicio de valoración, diagnóstico y plan terapéutico. Servicio de seguimiento y control terapéutico. Servicio de atención familiar.";"Metro: Congosto (línea 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eaa91657da473210VgnVCM2000000c205a0aRCRD";"CINCOVILLAS";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28051";"3";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"446966";"4468750";"40.36764117923205";"-3.624656042349954";"914 942 828";"914 942 827";"caidvallecas@salud.madrid.org";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"
11899;"Centro de Atención integral sociosanitaria nocturno";"";"De lunes a domingo de 21 a 8 horas";"Servicio de alimentación básica: Ofrece alimentación, una vez al día en el horario del centro.  Programas de Reducción de Daños y Riesgos: Intercambio personalizado de jeringuillas y papel de aluminio, Educación sanitaria, reparto de preservativos.  Intervenciones Sanitarias: cuidados sanitarios básicos, vacunación de enfermedades infectocontagiosas, detección precoz de patologías asociadas al consumo.  Información verbal y escrita: sobre recursos, acompañamiento y apoyo en accesos a la red y en tramitaciones administrativas.  Apoyo higiene personal: hábitos de limpieza periódica  de ropa, calzado, ropa interior e higiene corporal: Duchas, lavandería";"Metro: Alonso Martínez  Bus: 21";"Información Complementaria:   Drogodependientes en fase activa, ó en Programa de Metadona Personas sin hogar Pueden pernoctar";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a946d4985261c010VgnVCM1000000b205a0aRCRD";"HERMANOS ALVAREZ QUINTERO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28004";"4";"JUSTICIA";"1";"CENTRO";"440835";"4475437";"40.42747404776084";"-3.697485377509971";"916 035 651";"";"";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosAsistenciaDrogodependientes"
8889;"Centro de Diagnóstico Médico";"";"Antes de acudir, póngase en contacto telefónico con el centro    Horario de invierno    Citas: de lunes a viernes de 8:30 a 14:30 horas  Consulta de ITS, programa prevención del Sida: horario de admisión de pacientes CON cita previa de lunes a viernes de 8 a 9,30 horas en el teléfono 915885142   Horario de verano    Del 15 de junio al 15 de septiembre: de 8:00 a 14 horas";"El Centro de Diagnóstico Médico dispone de consultas especializadas: Medicina Interna, Endocrinología, Dermatología, Urología, Unidades de Diagnóstico para apoyar y complementar las actividades realizadas en los CMS: Diagnóstico por Imagen (Radiografía Convencional, Mamografías, Densitometrías,&amp;hellip;) Diagnóstico Ginecológico (Ecografía Ginecológica) La Sección de Diagnóstico Médico constituye además un Centro de referencia para los Centros Madrid Salud en relación con la mujer para:  Técnicas diagnósticas específicas de aplicación ginecológica. Mamografía y Ecografía mamaria. Densitometría  Coordina el Protocolo de Prevención de HIV (SIDA) y Enfermedades de Transmisión Sexual";"Metro: Manuel Becerra Bus: 1 , 2 , 12 , 21 , 43 , 48 , 53 , 56 , 74 , 146 , 210 , C";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a057a7e0a61c010VgnVCM1000000b205a0aRCRD";"MONTESA";"CALLE";"V";"22";"";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442986";"4475588";"40.428976927386806";"-3.6721607026353884";"915 885 100 / 06 (Citas)";"";"mspdiagnostico@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosPrevencionEnfermedades"
9176;"Centro de donación de sangre de Cruz Roja";"";"De lunes a viernes, de 9 a 20:30 horas.";"Puede consultar los puntos móviles de donación en   https://www.donarsangre.org/donde-donar/.";"Metro: Guzman El Bueno (líneas 6 y 7), Cuatro Caminos (líneas 1, 2 y 6).  Bus: 127, 44, 45, C2, F.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a61f7a7e0a61c010VgnVCM1000000b205a0aRCRD";"JUAN MONTALVO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"439802";"4477685";"40.447642769807906";"-3.709876518039568";"914 562 470 / 900 506 819";"";"";"/contenido/entidadesYorganismos/CentrosAtencionMedica/OtrosCentrosMedicos"
12020383;"Centro de donación de sangre de Cruz Roja Fin de Semana";"";"Todos los fines de semana de abril y mayo.   Viernes, sábados y domingos: de 17:00 a 21:00 horas.   Consultar días de cierre puntuales en su página web.";"Puede consultar los puntos móviles de donación en   https://www.donarsangre.org/donde-donar/.";"Metro: Bilbao (líneas 1 y 4), San Bernardo (líneas 2 y 4).  Bus: 149, 3, 37, 147, 21, C03, 40.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59ed7ea268d48810VgnVCM1000001d4a900aRCRD";"FUENCARRAL";"CALLE";"V";"120";"";"";"";"";"MADRID";"MADRID";"28010";"3";"TRAFALGAR";"7";"CHAMBERI";"440406";"4475715";"40.42994145019859";"-3.702571998641466";"900 506 819";"";"";"/contenido/entidadesYorganismos/CentrosAtencionMedica/OtrosCentrosMedicos"
9091;"Centro de Especialidades Periférico Argüelles";"";"";"Consulta más información en el siguiente enlace.";"Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Ventura Rodríguez (línea 3).  Bus: 62, 74.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e657a7e0a61c010VgnVCM1000000b205a0aRCRD";"QUINTANA";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439158";"4475489";"40.42781406516493";"-3.717256848569033";"913 445 022";"";"";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosEspecialidadesMedicas"
9093;"Centro de Especialidades Periférico Avenida de Portugal";"";"Puede acceder a más información en el siguiente enlace";"";"Metro: Alto de Extremadura (línea 6).  Bus: 31, 33, 36, 39, 65.";"Este Centro presta atención continuada como centro de continuidad de cuidados de enfermería sábados, domingos y festivos de 9 a 21 horas.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0857a7e0a61c010VgnVCM1000000b205a0aRCRD";"PORTUGAL";"AVENIDA";"V";"155";"";"";"";"";"MADRID";"MADRID";"28011";"2";"PUERTA DEL ANGEL";"10";"LATINA";"437399";"4473658";"40.41119139120168";"-3.7378185797598293";"917 042 697";"";"";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosEspecialidadesMedicas"
9095;"Centro de Especialidades Periférico Carabanchel Alto";"";"";"";"Metro: Carabanchel Alto (línea 11).  Bus: 108, 118, 121, 131, 47.";"Consulte más información en el siguiente enlace.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=63957a7e0a61c010VgnVCM1000000b205a0aRCRD";"AGUACATE";"CALLE";"V";"13";"";"";"";"";"MADRID";"MADRID";"28044";"6";"BUENAVISTA";"11";"CARABANCHEL";"436498";"4469315";"40.37199634931268";"-3.7480000378228766";"915 085 731 (información)";"";"";"/contenido/entidadesYorganismos/CentrosAtencionMedica/CentrosEspecialidadesMedicas"
